           lng            lat            alt
 -50.325204966  -12.790766000         15.000
 -50.325389418  -12.790766000         14.900
 -50.325758322  -12.790802000         14.800
 -50.326108780  -12.790838000         14.700
 -50.326477684  -12.790856000         14.600
 -50.326828142  -12.790892000         14.500
 -50.327197046  -12.790910000         14.400
 -50.327565949  -12.790946000         14.300
 -50.327916408  -12.790982000         14.200
 -50.328285311  -12.791000000         14.100
 -50.328635770  -12.791036000         14.000
 -50.329004673  -12.791054000         13.900
 -50.329355132  -12.791090000         13.800
 -50.329724035  -12.791126000         13.700
 -50.330074493  -12.791144000         13.600
 -50.330443397  -12.791180000         13.500
 -50.330812301  -12.791198000         13.400
 -50.331162759  -12.791234000         13.300
 -50.331531663  -12.791270000         13.200
 -50.331882121  -12.791288000         13.100
 -50.332066573  -12.791306000         13.000
