           lng            lat            alt
 -50.336198293  -12.819908000         15.000
 -50.336327409  -12.819386000         14.900
 -50.336567196  -12.818342000         14.800
 -50.336825429  -12.817298000         14.700
 -50.337083661  -12.816254000         14.600
 -50.337341894  -12.815210000         14.500
 -50.337600126  -12.814166000         14.400
 -50.337839914  -12.813122000         14.300
 -50.338098146  -12.812078000         14.200
 -50.338356378  -12.811034000         14.100
 -50.338614611  -12.810008000         14.000
 -50.338854398  -12.808964000         13.900
 -50.339112631  -12.807920000         13.800
 -50.339370863  -12.806876000         13.700
 -50.339629096  -12.805832000         13.600
 -50.339868883  -12.804788000         13.500
 -50.340127116  -12.803744000         13.400
 -50.340385348  -12.802700000         13.300
 -50.340643581  -12.801656000         13.200
 -50.340901813  -12.800612000         13.100
 -50.341012484  -12.800090000         13.000
