           lng            lat            alt
 -50.330019158  -12.794024000         15.000
 -50.330609404  -12.794222000         14.900
 -50.331826785  -12.794618000         14.800
 -50.333044167  -12.795014000         14.700
 -50.334243104  -12.795410000         14.600
 -50.335460486  -12.795806000         14.500
 -50.336659422  -12.796202000         14.400
 -50.337876804  -12.796598000         14.300
 -50.339075740  -12.796976000         14.200
 -50.340293122  -12.797372000         14.100
 -50.341510504  -12.797768000         14.000
 -50.342709441  -12.798164000         13.900
 -50.343926822  -12.798560000         13.800
 -50.345125759  -12.798956000         13.700
 -50.346343141  -12.799352000         13.600
 -50.347542077  -12.799748000         13.500
 -50.348759459  -12.800144000         13.400
 -50.349976841  -12.800540000         13.300
 -50.351175777  -12.800936000         13.200
 -50.352393159  -12.801332000         13.100
 -50.352983405  -12.801530000         13.000
