           lng            lat            alt
 -50.352983405  -12.801530000         15.000
 -50.353001850  -12.801422000         14.900
 -50.353038740  -12.801188000         14.800
 -50.353075631  -12.800972000         14.700
 -50.353112521  -12.800756000         14.600
 -50.353149411  -12.800522000         14.500
 -50.353186302  -12.800306000         14.400
 -50.353204747  -12.800072000         14.300
 -50.353241637  -12.799856000         14.200
 -50.353278528  -12.799640000         14.100
 -50.353315418  -12.799406000         14.000
 -50.353352308  -12.799190000         13.900
 -50.353389199  -12.798956000         13.800
 -50.353426089  -12.798740000         13.700
 -50.353444534  -12.798524000         13.600
 -50.353481425  -12.798290000         13.500
 -50.353518315  -12.798074000         13.400
 -50.353555205  -12.797840000         13.300
 -50.353592096  -12.797624000         13.200
 -50.353628986  -12.797408000         13.100
 -50.353647431  -12.797282000         13.000
