           lng            lat            alt
 -50.332066573  -12.791306000         15.000
 -50.332749044  -12.791486000         14.900
 -50.334132433  -12.791828000         14.800
 -50.335497376  -12.792188000         14.700
 -50.336862319  -12.792548000         14.600
 -50.338245707  -12.792890000         14.500
 -50.339610651  -12.793250000         14.400
 -50.340975594  -12.793610000         14.300
 -50.342358982  -12.793952000         14.200
 -50.343723925  -12.794312000         14.100
 -50.345088869  -12.794654000         14.000
 -50.346472257  -12.795014000         13.900
 -50.347837200  -12.795374000         13.800
 -50.349202143  -12.795716000         13.700
 -50.350585532  -12.796076000         13.600
 -50.351950475  -12.796436000         13.500
 -50.353315418  -12.796778000         13.400
 -50.354698806  -12.797138000         13.300
 -50.356063750  -12.797498000         13.200
 -50.357428693  -12.797840000         13.100
 -50.358111164  -12.798020000         13.000
