           lng            lat            alt
 -50.336290519  -12.820466000         15.000
 -50.336290519  -12.820448000         14.900
 -50.336290519  -12.820430000         14.800
 -50.336290519  -12.820394000         14.700
 -50.336272073  -12.820358000         14.600
 -50.336272073  -12.820340000         14.500
 -50.336272073  -12.820304000         14.400
 -50.336272073  -12.820268000         14.300
 -50.336253628  -12.820250000         14.200
 -50.336253628  -12.820214000         14.100
 -50.336253628  -12.820196000         14.000
 -50.336235183  -12.820160000         13.900
 -50.336235183  -12.820124000         13.800
 -50.336235183  -12.820106000         13.700
 -50.336216738  -12.820070000         13.600
 -50.336216738  -12.820034000         13.500
 -50.336216738  -12.820016000         13.400
 -50.336216738  -12.819980000         13.300
 -50.336198293  -12.819962000         13.200
 -50.336198293  -12.819926000         13.100
 -50.336198293  -12.819908000         13.000
