           lng            lat            alt
 -50.353647431  -12.797282000         15.000
 -50.353315418  -12.797372000         14.900
 -50.352651392  -12.797516000         14.800
 -50.351987365  -12.797660000         14.700
 -50.351323339  -12.797804000         14.600
 -50.350659312  -12.797948000         14.500
 -50.349995286  -12.798092000         14.400
 -50.349331260  -12.798254000         14.300
 -50.348667233  -12.798398000         14.200
 -50.348003207  -12.798542000         14.100
 -50.347339180  -12.798686000         14.000
 -50.346675154  -12.798830000         13.900
 -50.346011127  -12.798992000         13.800
 -50.345328656  -12.799136000         13.700
 -50.344664629  -12.799280000         13.600
 -50.344000603  -12.799424000         13.500
 -50.343336577  -12.799568000         13.400
 -50.342672550  -12.799712000         13.300
 -50.342008524  -12.799874000         13.200
 -50.341344497  -12.800018000         13.100
 -50.341012484  -12.800090000         13.000
