           lng            lat            alt
 -50.364234964  -12.798110000         15.000
 -50.363515602  -12.798020000         14.900
 -50.362076878  -12.797804000         14.800
 -50.360638154  -12.797606000         14.700
 -50.359199430  -12.797390000         14.600
 -50.357760706  -12.797192000         14.500
 -50.356321982  -12.796976000         14.400
 -50.354901703  -12.796778000         14.300
 -50.353462979  -12.796562000         14.200
 -50.352024256  -12.796364000         14.100
 -50.350585532  -12.796148000         14.000
 -50.349146808  -12.795950000         13.900
 -50.347708084  -12.795734000         13.800
 -50.346269360  -12.795536000         13.700
 -50.344849081  -12.795320000         13.600
 -50.343410357  -12.795122000         13.500
 -50.341971633  -12.794906000         13.400
 -50.340532910  -12.794708000         13.300
 -50.339094186  -12.794492000         13.200
 -50.337655462  -12.794294000         13.100
 -50.336936100  -12.794186000         13.000
