           lng            lat            alt
 -50.353647431  -12.797282000         15.000
 -50.353075631  -12.797138000         14.900
 -50.351932030  -12.796814000         14.800
 -50.350806874  -12.796508000         14.700
 -50.349663273  -12.796184000         14.600
 -50.348538117  -12.795878000         14.500
 -50.347394516  -12.795554000         14.400
 -50.346250915  -12.795248000         14.300
 -50.345125759  -12.794924000         14.200
 -50.343982158  -12.794618000         14.100
 -50.342857002  -12.794294000         14.000
 -50.341713401  -12.793988000         13.900
 -50.340588245  -12.793664000         13.800
 -50.339444644  -12.793358000         13.700
 -50.338319488  -12.793034000         13.600
 -50.337175887  -12.792728000         13.500
 -50.336050731  -12.792404000         13.400
 -50.334907130  -12.792098000         13.300
 -50.333763529  -12.791774000         13.200
 -50.332638373  -12.791468000         13.100
 -50.332066573  -12.791306000         13.000
