           lng            lat            alt
 -50.364234964  -12.798110000         15.000
 -50.363460266  -12.797966000         14.900
 -50.361947761  -12.797678000         14.800
 -50.360416812  -12.797372000         14.700
 -50.358904307  -12.797084000         14.600
 -50.357373357  -12.796778000         14.500
 -50.355860853  -12.796490000         14.400
 -50.354329903  -12.796184000         14.300
 -50.352817398  -12.795896000         14.200
 -50.351286448  -12.795608000         14.100
 -50.349773944  -12.795302000         14.000
 -50.348242994  -12.795014000         13.900
 -50.346730489  -12.794708000         13.800
 -50.345199540  -12.794420000         13.700
 -50.343687035  -12.794114000         13.600
 -50.342156085  -12.793826000         13.500
 -50.340643581  -12.793520000         13.400
 -50.339112631  -12.793232000         13.300
 -50.337581681  -12.792944000         13.200
 -50.336069176  -12.792638000         13.100
 -50.335312924  -12.792494000         13.000
