           lng            lat            alt
 -50.358111164  -12.798020000         15.000
 -50.357982048  -12.798110000         14.900
 -50.357705370  -12.798290000         14.800
 -50.357447138  -12.798488000         14.700
 -50.357170460  -12.798668000         14.600
 -50.356912228  -12.798848000         14.500
 -50.356635550  -12.799028000         14.400
 -50.356358872  -12.799226000         14.300
 -50.356100640  -12.799406000         14.200
 -50.355823962  -12.799586000         14.100
 -50.355547285  -12.799784000         14.000
 -50.355289052  -12.799964000         13.900
 -50.355012374  -12.800144000         13.800
 -50.354754142  -12.800324000         13.700
 -50.354477464  -12.800522000         13.600
 -50.354200787  -12.800702000         13.500
 -50.353942554  -12.800882000         13.400
 -50.353665876  -12.801062000         13.300
 -50.353389199  -12.801260000         13.200
 -50.353130966  -12.801440000         13.100
 -50.352983405  -12.801530000         13.000
