           lng            lat            alt
 -50.333007277  -12.792224000         15.000
 -50.333228619  -12.792440000         14.900
 -50.333634413  -12.792854000         14.800
 -50.334058652  -12.793268000         14.700
 -50.334482891  -12.793682000         14.600
 -50.334907130  -12.794096000         14.500
 -50.335331369  -12.794510000         14.400
 -50.335755608  -12.794924000         14.300
 -50.336179847  -12.795338000         14.200
 -50.336585641  -12.795752000         14.100
 -50.337009880  -12.796148000         14.000
 -50.337434120  -12.796562000         13.900
 -50.337858359  -12.796976000         13.800
 -50.338282598  -12.797390000         13.700
 -50.338706837  -12.797804000         13.600
 -50.339131076  -12.798218000         13.500
 -50.339536870  -12.798632000         13.400
 -50.339961109  -12.799046000         13.300
 -50.340385348  -12.799460000         13.200
 -50.340809587  -12.799874000         13.100
 -50.341012484  -12.800090000         13.000
