           lng            lat            alt
 -50.355750182  -12.823634000         15.000
 -50.355805517  -12.822968000         14.900
 -50.355934633  -12.821618000         14.800
 -50.356063750  -12.820268000         14.700
 -50.356174421  -12.818918000         14.600
 -50.356303537  -12.817568000         14.500
 -50.356432653  -12.816218000         14.400
 -50.356561769  -12.814868000         14.300
 -50.356672440  -12.813518000         14.200
 -50.356801557  -12.812186000         14.100
 -50.356930673  -12.810836000         14.000
 -50.357059789  -12.809486000         13.900
 -50.357188905  -12.808136000         13.800
 -50.357299577  -12.806786000         13.700
 -50.357428693  -12.805436000         13.600
 -50.357557809  -12.804086000         13.500
 -50.357686925  -12.802736000         13.400
 -50.357797596  -12.801386000         13.300
 -50.357926713  -12.800036000         13.200
 -50.358055829  -12.798686000         13.100
 -50.358111164  -12.798020000         13.000
